id_usuario;id_eval;nombre;edad;genero;estado_relacion;situacion_trabajo;hr_sueno;hr_act_fis;hr_pantalla;apoyo_percibido;estres_laboral;estres_academico;satisfaccion_laboral;estres_financ;hr_trabajo;cambio_emocional;dificultad_concentracion;historial_panico;historial_familiar;diagnostico_previo;tratamiento_previo;uso_sustancias;correo;password
1;10001;Mar Melero Mateo;22;Otro;Casado;Empleado;69;116;64;10;10;3;7;1;28;7;7;0;0;0;0;1;mar.melero33@outlook.com;Marmel623_
2;10002;Florinda Ponce Bartolomé;30;Femenina;Divorciado;Estudiante;35;43;28;10;9;5;6;4;21;7;1;0;0;0;1;0;florinda.ponce968@hotmail.com;Florin787#
3;10003;Irene Palomo Pozo;30;Otro;Divorciado;Empleado;90;1;66;5;1;3;10;8;28;4;1;1;0;1;1;1;irene.palomo569@hotmail.com;Irenep223#
4;10004;Clotilde Carlos Pedro;21;Femenina;Soltero;Estudiante;47;49;92;7;3;1;1;3;27;6;6;0;0;1;1;0;clotilde.carlos392@gmail.com;Clotil731123
5;10005;Kike Alejandro Sotelo Iniesta;24;Masculino;Casado;Estudiante;65;120;81;3;7;2;2;7;65;10;6;1;1;1;0;1;kike.alejandro137@hotmail.com;Kikeal293_
6;10006;Edelmira Alcaraz;27;Otro;Divorciado;Empleado;74;75;104;4;8;7;2;1;24;3;1;0;0;0;0;0;edelmira.alcaraz283@yahoo.com;Edelmi442123
7;10007;Jonatan Pascual Millán Luque;29;Otro;Casado;Independiente;57;144;110;2;3;2;3;7;63;10;10;1;1;1;0;0;jonatan.pascual659@yahoo.com;Jonata462123
8;10008;Clara Luque;24;Femenina;Soltero;Desempleado;38;105;79;8;4;9;5;9;48;9;8;1;0;0;0;1;clara.luque624@outlook.com;Claral170!
9;10009;Epifanio Beltran-Ruiz;36;Masculino;Divorciado;Estudiante;57;2;110;9;7;4;3;10;31;9;4;0;0;1;0;0;epifanio.beltranruiz11@outlook.com;Epifan421123
10;10010;León Ibáñez Nieto;33;Masculino;Soltero;Desempleado;85;14;64;10;5;3;7;2;58;1;6;0;1;0;1;1;leon.ibanez249@hotmail.com;Leonib550_
11;10011;Josep Tejera Elorza;26;Otro;Soltero;Independiente;88;106;19;6;3;8;1;6;56;9;4;1;1;1;0;0;josep.tejera105@outlook.com;Josept208@
12;10012;Vilma Montero Alcántara;23;Femenina;Divorciado;Estudiante;86;147;71;5;6;5;5;4;66;9;2;0;0;0;1;0;vilma.montero112@hotmail.com;Vilmam188@
13;10013;Bárbara Reguera Bejarano;22;Otro;Casado;Empleado;32;56;99;1;5;10;9;6;51;9;3;0;0;0;1;0;barbara.reguera761@yahoo.com;Barbar9732026
14;10014;Iker Porta Chico;23;Masculino;Divorciado;Independiente;78;80;92;5;7;5;5;5;22;1;5;1;0;1;0;0;iker.porta507@gmail.com;Ikerpo961#
15;10015;César Gutiérrez Alberto;30;Masculino;Casado;Desempleado;45;132;93;8;7;10;10;2;53;2;1;1;1;0;1;1;cesar.gutierrez858@outlook.com;Cesarg5322026
16;10016;Tomás Renato Iglesia Aliaga;34;Masculino;Soltero;Estudiante;39;4;93;2;3;7;6;2;40;2;3;0;1;1;0;1;tomas.renato185@yahoo.com;Tomasr903123
17;10017;Crescencia Martín;30;Femenina;Soltero;Estudiante;45;87;48;9;7;7;6;8;66;8;9;0;1;0;0;0;crescencia.martin226@outlook.com;Cresce949!
18;10018;Jessica Zamorano;26;Femenina;Divorciado;Estudiante;36;72;86;1;10;4;1;8;49;8;6;1;1;1;0;1;jessica.zamorano108@hotmail.com;Jessic376!
19;10019;Alfredo Córdoba;34;Otro;Casado;Estudiante;45;49;23;4;9;4;10;3;36;6;2;0;1;1;0;1;alfredo.cordoba444@gmail.com;Alfred9602026
20;10020;Luis Miguel Llopis Montesinos;36;Masculino;Casado;Empleado;57;51;109;8;6;5;9;1;53;6;6;0;1;1;1;0;luis.miguel514@gmail.com;Luismi316_
21;10021;Salud Vicens Falcó;19;Femenina;Soltero;Desempleado;69;86;41;5;6;10;6;4;63;4;1;1;0;0;1;1;salud.vicens86@outlook.com;Saludv234!
22;10022;Lucio Palomo Hernandez;31;Masculino;Divorciado;Desempleado;93;94;69;1;9;1;1;7;34;8;3;0;0;1;1;0;lucio.palomo389@yahoo.com;Luciop754123
23;10023;Emilio Remigio Valencia Manzanares;24;Masculino;Casado;Desempleado;81;104;28;1;4;7;4;6;66;7;1;1;1;1;1;1;emilio.remigio781@yahoo.com;Emilio626!
24;10024;Marcelino Rosell Cobos;22;Masculino;Soltero;Empleado;91;51;100;4;8;4;8;8;50;3;3;1;1;1;0;0;marcelino.rosell248@gmail.com;Marcel946#
25;10025;Fabián Priego;22;Masculino;Divorciado;Desempleado;88;144;48;8;7;10;10;8;25;8;4;1;1;0;1;0;fabian.priego73@hotmail.com;Fabian478123
26;10026;Amor de Girón;25;Otro;Casado;Empleado;76;116;51;6;3;8;9;6;28;5;10;1;1;1;0;0;amor.de410@outlook.com;Amorde117_
27;10027;Ale Alberto Jiménez;18;Masculino;Soltero;Estudiante;91;78;75;9;5;9;10;4;40;9;3;0;1;0;1;0;ale.alberto559@gmail.com;Alealb673#
28;10028;Gil Arteaga Lillo;18;Masculino;Soltero;Empleado;53;11;93;10;3;2;1;7;29;8;1;0;0;0;1;0;gil.arteaga62@gmail.com;Gilart534#
29;10029;Odalis Navarrete Noriega;25;Otro;Divorciado;Empleado;37;120;30;8;2;3;8;8;52;6;5;1;0;0;1;1;odalis.navarrete526@hotmail.com;Odalis836@
30;10030;Josefa Álamo Casas;24;Femenina;Casado;Desempleado;74;110;103;3;4;2;2;1;67;2;3;0;0;1;1;0;josefa.alamo932@outlook.com;Josefa367_
31;10031;Gastón Comas Morales;19;Masculino;Divorciado;Estudiante;42;111;19;3;10;5;8;4;55;3;6;1;0;0;1;1;gaston.comas471@gmail.com;Gaston3782026
32;10032;Juan José Martinez Aramburu;33;Masculino;Soltero;Estudiante;91;110;99;5;6;6;8;9;42;9;10;0;1;1;1;0;juan.jose745@gmail.com;Juanjo366@
33;10033;Noa Coronado Blanch;34;Femenina;Soltero;Estudiante;43;85;111;5;7;9;3;8;33;4;7;0;1;0;1;0;noa.coronado263@yahoo.com;Noacor3342026
34;10034;Eladio Zaragoza Barrera;34;Otro;Casado;Empleado;76;55;72;2;3;5;8;10;64;8;1;1;0;1;0;0;eladio.zaragoza875@outlook.com;Eladio5892026
35;10035;Natanael Cepeda Benavent;35;Masculino;Soltero;Desempleado;66;64;106;7;3;10;2;7;21;4;1;0;1;0;1;0;natanael.cepeda267@yahoo.com;Natana665_
36;10036;Yolanda Gárate Arenas;33;Otro;Divorciado;Independiente;91;148;95;7;4;5;1;1;44;4;2;1;0;0;1;0;yolanda.garate156@outlook.com;Yoland991123
37;10037;Marita Salvador Aguiló;32;Femenina;Soltero;Desempleado;60;58;85;10;5;5;6;7;31;9;7;1;1;0;1;1;marita.salvador806@gmail.com;Marita604_
38;10038;Renato del Moreno;26;Masculino;Divorciado;Empleado;95;149;29;3;2;2;1;8;61;8;9;0;1;1;0;1;renato.del674@yahoo.com;Renato329@
